,Intersection Point,Profit
440,"(12.241126609990115, 95.30093752013403)",1185504.05
441,"(12.391810623390903, 83.85790570721826)",1061574.89
442,"(12.432993015782984, 130.49851174278166)",1432159.46
443,"(12.444003182973791, 94.57366184035743)",1178013.52
444,"(12.524832632089314, 166.12885182860737)",1712127.24
445,"(12.56134870707553, 104.32444436975601)",1291061.45
446,"(12.616079367032889, 114.4482007023844)",1354788.6
447,"(12.69370898532547, 235.63204428843417)",2201018.3
448,"(12.777991229948327, 238.4111193200528)",2222170.4
449,"(12.907011298892481, 105.67742450227387)",1304909.85
450,"(12.961708377030853, 129.2823980905304)",1423438.33
451,"(13.030646049679689, 270.471625709209)",2412231.76
452,"(13.079231423380342, 237.59757207710666)",2219812.85
453,"(13.124501189829473, 99.95785272452862)",1244261.48
454,"(13.12788601363895, 30.528026069685055)",403772.55
455,"(13.133073166583625, 232.86693329589548)",2198553.11
456,"(13.279842506691299, 101.5134895161283)",1264006.83
457,"(13.307931044970006, 113.46351763256413)",1350393.12
458,"(13.357130180742715, 281.71795896553357)",2460034.8
459,"(13.361873365659179, 268.82059961113293)",2409080.38
460,"(13.379614900878693, 307.2861260115257)",2568936.66
461,"(13.390762763674118, 381.023874721047)",2604710.96
462,"(13.393664076080077, 155.14086821326913)",1638665.77
463,"(13.4644102373803, 96.97941324536714)",1210677.03
464,"(13.483333989177794, 112.35300894153009)",1340646.78
465,"(13.513235357793974, 287.41552963547)",2486007.68
466,"(13.624819890386547, 287.1124756346265)",2484730.19
467,"(13.63810057048584, 174.14447213557452)",1789463.32
468,"(13.686078726430523, 189.5889838386223)",1910723.01
469,"(13.731040403217605, 165.37130739758317)",1718994.22
470,"(13.737060179730129, 232.84233110719384)",2203087.63
471,"(13.754241675877008, 345.5474266033195)",2609255.74
472,"(13.771343744890707, 226.88960372839298)",2161951.2
473,"(13.790229472062943, 110.40999651079623)",1344318.31
474,"(13.812217195694515, 103.77492097137005)",1291727.28
475,"(13.85073041493596, 100.00000000000001)",1248868.25
476,"(13.866190627527441, 99.94814814814816)",1248169.12
477,"(13.870837419585598, 263.5575229981556)",2393612.32
478,"(13.890322731329022, 225.41682390126186)",2152083.93
479,"(14.087126715720354, 153.0550859282633)",1622626.23
480,"(14.091969893707958, 9.146075413094172)",186335.14
481,"(14.10947329165947, 113.24475524475527)",1352581.38
482,"(14.125153714686363, 275.9731951620832)",2437004.06
483,"(14.14001243641465, 287.41552963547)",2491360.08
484,"(14.167692506480986, 100.00000000000001)",1250536.68
485,"(14.179206293266194, 99.94814814814816)",1249817.05
486,"(14.190030476662205, 107.8787819277293)",1330670.49
487,"(14.243049168220681, 99.66063446080166)",1246769.64
488,"(14.269797924880997, 266.1918044268057)",2395847.44
489,"(14.269818764741288, 285.36071412367875)",2484193.8
490,"(14.30942899089385, 102.88307904321178)",1283698.53
491,"(14.314078904833595, 60.23824132827015)",779190.44
492,"(14.316863337498827, 225.41682390126186)",2153726.07
493,"(14.336854018141771, 143.21248359827138)",1556665.34
494,"(14.359178897085258, 97.68738282559099)",1223169.23
495,"(14.365284512987214, 142.8529273072343)",1553196.78
496,"(14.371661524377686, 270.966564148895)",2424723.55
497,"(14.372837123867065, 142.8529273072343)",1553247.67
498,"(14.385429395769599, 149.6295358141223)",1602243.6
499,"(14.390038050682762, 127.8925170921716)",1417746.65
500,"(14.401831092197341, 93.17456170317847)",1171649.69
501,"(14.409465261939303, 280.45300085566095)",2460530.59
502,"(14.464806691860007, 106.13912255972508)",1317700.62
